1;Pákozdi Piládész ;F;2016-5-21;kémia;2
2;Valenta Izor ;F;2017-1-9;angol;1
3;Baar Domonkos ;F;2017-10-16;matematika;4
4;Berwanger Magnólia ;L;2016-9-5;nyelvtan;4
5;Svrcsek Róza ;L;2016-1-18;informatika;1
6;Tausinger Filip ;F;2016-1-9;földrajz;1
7;Tomola Szulita ;L;2017-7-20;fizika;1
8;Valovits Boriska ;L;2016-4-18;informatika;2
9;Murga Hilka ;L;2016-10-25;matematika;4
10;Stahlberger Násfa ;L;2016-9-14;kémia;5
11;Fassl Áhim ;F;2016-7-16;angol;2
12;Leibrecht Jákim ;F;2017-2-21;biológia;2
13;Delaval Versény ;F;2017-6-2;nyelvtan;4
14;Svrcsek Róza ;L;2016-3-27;angol;4
15;Svrcsek Róza ;L;2017-3-12;informatika;4
16;Dobrodolszki Délibáb ;L;2016-6-9;földrajz;2
17;Marek Tamina ;L;2016-1-3;fizika;3
18;Blatniczky Szávitri ;L;2016-7-21;informatika;4
19;Leschner Triniti ;L;2017-7-2;irodalom;2
20;Baar Domonkos ;F;2016-4-11;angol;4
21;Ruthart Gvendolin ;L;2016-11-21;történelem;2
22;Tausinger Filip ;F;2016-9-20;biológia;2
23;Leschner Triniti ;L;2016-4-5;testnevelés;2
24;Stahlberger Násfa ;L;2017-11-24;testnevelés;1
25;Baar Domonkos ;F;2016-10-29;angol;3
26;Marek Tamina ;L;2017-12-26;kémia;4
27;Geidel Zámor ;F;2017-6-17;matematika;2
28;Hemel Kiliána ;L;2016-7-22;irodalom;3
29;Pákozdi Piládész ;F;2016-1-30;matematika;4
30;Pákozdi Piládész ;F;2016-5-26;történelem;5
31;Valovits Boriska ;L;2016-4-5;matematika;1
32;Sehr Ugocsa ;F;2017-8-29;nyelvtan;1
33;Tausinger Filip ;F;2016-3-1;matematika;4
34;Bács Ivor ;F;2016-4-1;földrajz;1
35;Stepanik Darnel ;F;2016-9-2;nyelvtan;1
36;Berwanger Magnólia ;L;2016-7-17;rajz;3
37;Sáfár Becse ;F;2017-11-16;testnevelés;4
38;Berwanger Magnólia ;L;2017-9-26;matematika;5
39;Uhercsák Izolda ;L;2017-5-27;kémia;3
40;Murga Hilka ;L;2017-3-15;kémia;4
41;Tausinger Filip ;F;2016-2-10;földrajz;1
42;Bács Ivor ;F;2016-3-9;testnevelés;4
43;Tausinger Filip ;F;2016-8-13;testnevelés;5
44;Svrcsek Róza ;L;2016-5-28;informatika;4
45;Leibrecht Jákim ;F;2017-6-5;matematika;4
46;Uhercsák Izolda ;L;2016-11-4;irodalom;5
47;Berwanger Magnólia ;L;2017-7-15;matematika;1
48;Tomola Szulita ;L;2017-10-6;nyelvtan;5
49;Dobrodolszki Délibáb ;L;2016-3-31;testnevelés;3
50;Blatniczky Szávitri ;L;2016-1-15;matematika;2
51;Fassl Áhim ;F;2016-5-7;földrajz;4
52;Sehr Ugocsa ;F;2016-1-21;rajz;4
53;Fassl Áhim ;F;2017-11-14;angol;2
54;Ruthart Gvendolin ;L;2016-2-20;földrajz;3
55;Hemel Kiliána ;L;2016-10-6;matematika;5
56;Tomola Szulita ;L;2017-2-18;testnevelés;4
57;Ruthart Gvendolin ;L;2016-1-12;biológia;1
58;Ullreich Eliána ;L;2017-8-10;kémia;5
59;Tausinger Filip ;F;2017-11-9;földrajz;3
60;Leschner Triniti ;L;2016-4-27;testnevelés;2
61;Geidel Zámor ;F;2016-2-19;angol;2
62;Leschner Triniti ;L;2016-3-5;testnevelés;3
63;Tomola Szulita ;L;2016-9-28;történelem;1
64;Hemel Kiliána ;L;2017-4-6;történelem;4
65;Murga Hilka ;L;2017-9-10;történelem;5
66;Stepanik Darnel ;F;2017-6-20;kémia;1
67;Bács Ivor ;F;2016-9-2;irodalom;2
68;Leibrecht Jákim ;F;2017-9-4;földrajz;3
69;Uhercsák Izolda ;L;2016-3-10;kémia;3
70;Berwanger Magnólia ;L;2016-3-30;testnevelés;1
71;Teveli Dorotea ;L;2016-6-12;nyelvtan;3
72;Leibrecht Jákim ;F;2017-6-3;földrajz;4
73;Ruthart Gvendolin ;L;2017-12-21;irodalom;3
74;Pákozdi Piládész ;F;2017-10-18;testnevelés;4
75;Uhercsák Izolda ;L;2017-8-25;testnevelés;1
76;Ullreich Eliána ;L;2017-8-1;rajz;2
77;Leibrecht Jákim ;F;2017-12-24;rajz;2
78;Delaval Versény ;F;2017-7-5;fizika;1
79;Tomola Szulita ;L;2016-9-21;biológia;4
80;Leschner Triniti ;L;2016-3-18;biológia;4
81;Ruthart Gvendolin ;L;2017-4-25;matematika;2
82;Lónyay Árpádina ;L;2017-9-21;testnevelés;4
83;Litovecz Szaniszló ;F;2016-5-27;történelem;3
84;Blatniczky Szávitri ;L;2017-5-1;nyelvtan;3
85;Pákozdi Piládész ;F;2017-10-1;történelem;3
86;Leibrecht Jákim ;F;2017-12-5;kémia;5
87;Hemel Kiliána ;L;2016-4-12;nyelvtan;3
88;Tüzes Andorás ;F;2017-7-7;földrajz;4
89;Stepanik Darnel ;F;2017-8-17;biológia;4
90;Blatniczky Szávitri ;L;2016-2-18;matematika;5
91;Uhercsák Izolda ;L;2016-2-29;földrajz;4
92;Ullreich Eliána ;L;2017-1-21;matematika;2
93;Leschner Triniti ;L;2017-7-16;rajz;3
94;Berwanger Magnólia ;L;2016-5-6;irodalom;1
95;Tausinger Filip ;F;2017-12-29;földrajz;4
96;Stahlberger Násfa ;L;2016-5-16;földrajz;1
97;Fassl Áhim ;F;2016-6-30;irodalom;1
98;Dobrodolszki Délibáb ;L;2017-5-3;informatika;2
99;Hemel Kiliána ;L;2016-4-10;történelem;3
100;Murga Hilka ;L;2017-3-11;informatika;3
101;Ruthart Gvendolin ;L;2016-2-27;kémia;5
102;Ruthart Gvendolin ;L;2017-12-27;irodalom;3
103;Bács Ivor ;F;2017-4-21;földrajz;3
104;Pákozdi Piládész ;F;2016-6-21;kémia;3
105;Geidel Zámor ;F;2017-4-24;földrajz;4
106;Stepanik Darnel ;F;2016-11-4;nyelvtan;5
107;Bács Ivor ;F;2016-7-20;rajz;1
108;Bács Ivor ;F;2016-9-24;informatika;1
109;Lónyay Árpádina ;L;2017-1-31;irodalom;2
110;Bács Ivor ;F;2016-5-14;testnevelés;2
111;Teveli Dorotea ;L;2016-6-9;fizika;2
112;Murga Hilka ;L;2016-6-26;kémia;2
113;Geidel Zámor ;F;2017-10-31;matematika;5
114;Ruthart Gvendolin ;L;2017-9-15;irodalom;1
115;Stahlberger Násfa ;L;2017-1-5;rajz;2
116;Pákozdi Piládész ;F;2016-2-3;rajz;4
117;Geidel Zámor ;F;2017-9-29;matematika;4
118;Berwanger Magnólia ;L;2017-9-13;nyelvtan;4
119;Valovits Boriska ;L;2017-10-3;biológia;4
120;Sáfár Becse ;F;2017-10-27;irodalom;2
121;Litovecz Szaniszló ;F;2017-3-22;informatika;3
122;Stahlberger Násfa ;L;2017-12-14;földrajz;4
123;Uhercsák Izolda ;L;2016-6-20;informatika;3
124;Litovecz Szaniszló ;F;2016-9-11;biológia;4
125;Pákozdi Piládész ;F;2016-4-16;nyelvtan;4
126;Uhercsák Izolda ;L;2017-6-30;földrajz;3
127;Baar Domonkos ;F;2017-10-18;nyelvtan;1
128;Lónyay Árpádina ;L;2016-5-23;biológia;3
129;Uhercsák Izolda ;L;2016-2-18;történelem;1
130;Svrcsek Róza ;L;2017-6-12;biológia;2
131;Tausinger Filip ;F;2016-2-12;kémia;2
132;Tüzes Andorás ;F;2016-12-31;nyelvtan;5
133;Dobrodolszki Délibáb ;L;2016-3-12;biológia;4
134;Blatniczky Szávitri ;L;2017-3-30;kémia;1
135;Valenta Izor ;F;2016-11-27;testnevelés;2
136;Litovecz Szaniszló ;F;2017-10-17;történelem;3
137;Litovecz Szaniszló ;F;2017-6-20;matematika;4
138;Pákozdi Piládész ;F;2016-8-15;testnevelés;3
139;Geidel Zámor ;F;2016-10-31;biológia;1
140;Delaval Versény ;F;2017-12-11;angol;5
141;Fassl Áhim ;F;2017-7-30;rajz;1
142;Sehr Ugocsa ;F;2016-8-2;testnevelés;4
143;Uhercsák Izolda ;L;2016-6-13;angol;3
144;Fassl Áhim ;F;2017-6-8;testnevelés;1
145;Fassl Áhim ;F;2016-12-30;irodalom;1
146;Blatniczky Szávitri ;L;2017-4-17;irodalom;1
147;Marek Tamina ;L;2017-7-3;matematika;4
148;Blatniczky Szávitri ;L;2016-4-2;nyelvtan;3
149;Blatniczky Szávitri ;L;2017-5-10;történelem;3
150;Pákozdi Piládész ;F;2016-12-1;nyelvtan;3
151;Pákozdi Piládész ;F;2017-12-6;rajz;3
152;Leibrecht Jákim ;F;2016-3-25;földrajz;1
153;Fassl Áhim ;F;2016-9-23;fizika;3
154;Tausinger Filip ;F;2017-10-11;kémia;4
155;Blatniczky Szávitri ;L;2017-9-18;rajz;2
156;Leibrecht Jákim ;F;2017-2-26;testnevelés;5
157;Fassl Áhim ;F;2016-8-29;testnevelés;4
158;Valenta Izor ;F;2016-9-5;testnevelés;3
159;Litovecz Szaniszló ;F;2016-7-10;történelem;5
160;Hemel Kiliána ;L;2017-8-26;angol;3
161;Fassl Áhim ;F;2016-5-9;földrajz;3
162;Dobrodolszki Délibáb ;L;2017-3-1;fizika;1
163;Ruthart Gvendolin ;L;2017-8-12;fizika;2
164;Tomola Szulita ;L;2016-11-21;informatika;3
165;Ullreich Eliána ;L;2016-8-17;nyelvtan;5
166;Sáfár Becse ;F;2017-12-16;kémia;5
167;Valenta Izor ;F;2016-11-24;informatika;4
168;Dobrodolszki Délibáb ;L;2017-10-21;informatika;5
169;Dobrodolszki Délibáb ;L;2017-5-2;informatika;2
170;Leschner Triniti ;L;2016-1-5;irodalom;3
171;Valovits Boriska ;L;2016-1-8;földrajz;4
172;Tomola Szulita ;L;2017-3-21;kémia;1
173;Litovecz Szaniszló ;F;2016-7-6;történelem;3
174;Sáfár Becse ;F;2017-5-8;angol;5
175;Sáfár Becse ;F;2017-9-13;irodalom;3
176;Ullreich Eliána ;L;2017-9-17;informatika;1
177;Lónyay Árpádina ;L;2017-4-5;biológia;3
178;Teveli Dorotea ;L;2017-10-4;rajz;3
179;Murga Hilka ;L;2017-12-6;fizika;4
180;Leschner Triniti ;L;2016-7-7;fizika;3
181;Baar Domonkos ;F;2016-6-30;testnevelés;1
182;Delaval Versény ;F;2016-9-6;irodalom;5
183;Valenta Izor ;F;2016-7-27;kémia;3
184;Litovecz Szaniszló ;F;2017-3-30;testnevelés;3
185;Tausinger Filip ;F;2017-5-17;földrajz;1
186;Tausinger Filip ;F;2017-11-9;fizika;3
187;Dobrodolszki Délibáb ;L;2017-5-25;nyelvtan;4
188;Bács Ivor ;F;2016-11-14;nyelvtan;1
189;Fassl Áhim ;F;2017-2-8;biológia;5
190;Stepanik Darnel ;F;2017-11-12;rajz;4
191;Teveli Dorotea ;L;2016-9-24;matematika;4
192;Ruthart Gvendolin ;L;2017-10-31;történelem;4
193;Uhercsák Izolda ;L;2016-1-18;fizika;4
194;Marek Tamina ;L;2017-10-5;fizika;1
195;Leibrecht Jákim ;F;2016-3-24;matematika;5
196;Litovecz Szaniszló ;F;2017-12-28;informatika;4
197;Stepanik Darnel ;F;2017-11-21;biológia;3
198;Ruthart Gvendolin ;L;2016-8-10;kémia;5
199;Leschner Triniti ;L;2016-6-3;matematika;4
200;Tüzes Andorás ;F;2017-9-18;földrajz;2
201;Murga Hilka ;L;2017-2-12;fizika;3
202;Marek Tamina ;L;2017-12-18;testnevelés;1
203;Teveli Dorotea ;L;2017-12-11;kémia;2
204;Teveli Dorotea ;L;2017-8-7;kémia;2
205;Sehr Ugocsa ;F;2017-6-15;nyelvtan;3
206;Tüzes Andorás ;F;2017-8-30;történelem;5
207;Tomola Szulita ;L;2016-10-25;informatika;1
208;Baar Domonkos ;F;2016-2-18;rajz;3
209;Ullreich Eliána ;L;2017-9-21;angol;2
210;Blatniczky Szávitri ;L;2017-2-5;biológia;5
211;Fassl Áhim ;F;2016-8-6;biológia;2
212;Valenta Izor ;F;2017-8-26;fizika;3
213;Tüzes Andorás ;F;2016-2-19;nyelvtan;5
214;Litovecz Szaniszló ;F;2017-1-21;biológia;4
215;Uhercsák Izolda ;L;2017-4-8;angol;1
216;Stahlberger Násfa ;L;2016-7-28;fizika;3
217;Stepanik Darnel ;F;2017-12-13;kémia;1
218;Svrcsek Róza ;L;2017-1-9;irodalom;2
219;Teveli Dorotea ;L;2017-9-30;történelem;4
220;Blatniczky Szávitri ;L;2016-7-27;informatika;5
221;Tüzes Andorás ;F;2017-8-11;matematika;4
222;Murga Hilka ;L;2017-11-21;biológia;2
223;Stahlberger Násfa ;L;2017-1-25;testnevelés;4
224;Sáfár Becse ;F;2016-6-18;angol;4
225;Delaval Versény ;F;2017-10-24;nyelvtan;1
226;Murga Hilka ;L;2017-1-7;informatika;5
227;Teveli Dorotea ;L;2016-4-4;biológia;4
228;Hemel Kiliána ;L;2016-4-12;történelem;5
229;Stepanik Darnel ;F;2016-2-27;földrajz;4
230;Sáfár Becse ;F;2016-5-11;informatika;2
231;Tausinger Filip ;F;2016-6-30;fizika;4
232;Geidel Zámor ;F;2016-2-10;irodalom;4
233;Berwanger Magnólia ;L;2016-10-27;rajz;5
234;Berwanger Magnólia ;L;2017-10-31;fizika;5
235;Valenta Izor ;F;2017-8-27;matematika;4
236;Stepanik Darnel ;F;2016-2-2;matematika;4
237;Leibrecht Jákim ;F;2017-9-8;kémia;4
238;Tausinger Filip ;F;2017-1-3;angol;3
239;Delaval Versény ;F;2016-4-14;angol;4
240;Fassl Áhim ;F;2016-11-1;földrajz;2
241;Dobrodolszki Délibáb ;L;2017-6-8;történelem;4
242;Tausinger Filip ;F;2017-4-24;matematika;4
